3042504,387,314,391,0,0
3042648,345,310,391,0,0
3042788,344,307,390,0,0
3042924,337,308,391,0,0
3043064,345,308,399,0,0
3043200,339,308,384,0,0
3043352,341,312,404,0,0
3043612,344,312,398,0,0
3044544,344,313,391,0,0
3045480,338,311,396,0,0
3046420,340,308,395,0,0
3047352,340,316,393,0,0
3048284,342,315,398,0,0
3049220,338,308,390,0,0
3050156,344,311,391,0,0
3051092,337,309,399,0,0
3052024,339,307,390,0,0
3052960,331,312,408,0,0
3053896,348,322,403,0,0
3054832,339,311,391,0,0
3055764,339,310,397,0,0
3056700,335,311,399,0,0
3057636,340,308,391,0,0
3058572,343,312,395,0,0
3059504,339,306,391,0,0
3060440,338,307,385,0,0
3061376,342,307,396,0,0
3062312,348,313,367,0,0
3063244,343,316,399,0,0
3064180,342,312,398,0,0
3065116,339,312,396,0,0
3066052,337,310,387,0,0
3066984,341,314,399,0,0
3067924,338,313,395,0,0
3068856,339,311,399,0,0
3069792,335,304,382,0,0
3070724,339,311,399,0,0
3071660,337,298,390,0,0
3072596,340,308,395,0,0
3073532,344,312,403,0,0
3074464,337,310,393,0,0
3075400,343,312,387,0,0
3076336,335,312,395,0,0
3077272,342,308,387,0,0
3078204,340,312,399,0,0
3079140,342,312,390,0,0
3080076,340,307,390,0,0
3081012,344,313,396,0,0
3081944,344,310,399,0,0
3083816,336,307,391,0,0
3084752,340,312,387,0,0
3085684,338,307,393,0,0
3086620,337,307,394,0,0
3087556,344,313,399,0,0
3088492,343,315,395,0,0
3089428,338,310,399,0,0
3090360,337,312,387,0,0
3091296,341,307,392,0,0
3092232,340,312,398,0,0
3093164,337,309,394,0,0
3094100,344,305,389,0,0
3095036,342,315,391,0,0
3095972,336,310,391,0,0
3096904,342,308,390,0,0
3097840,344,312,390,0,0
3098776,339,312,402,0,0
3099712,341,307,387,0,0
3100648,335,308,387,0,0
3101580,332,308,415,0,0
3102516,339,312,389,0,0
3103452,337,300,396,0,0
3104384,340,315,396,0,0
3105320,335,311,390,0,0
3106256,335,311,403,0,0
3107192,338,312,391,0,0
3108124,342,312,391,0,0
